,Human A13,Human A14,Human A19,Human A1C,Human A23,Human A25,Human A29-A30,Human A32,Human A35-A36,Human A35r,Human A38,Human A40,Human A43,Human A44-A45,Human A46,Human A5-A7,Human ACC,Human ANC,Human AON,Human BL,Human BM,Human BNST,Human CA1,Human CA1-2R,Human CA1C-CA3C,Human CA1R-CA2R-CA3R,Human CA1U-CA2U-CA3U,Human CA2U-CA3U,Human CA3R,Human CA4C-DGC,Human CBL,Human CBV,Human CEN,Human CM,Human CM-Pf,Human CMN,Human CaB,Human CbDN,Human Cla,Human CoA,Human DGR-CA4,Human DGR-CA4Rpy,Human DGU-CA4Upy,Human DTg,Human ETH,Human FI,Human GPe,Human GPi,Human HTHma,Human HTHma-HTHtub,Human HTHpo,Human HTHpo-HTHso,Human HTHso,Human HTHso-HTHtub,Human HTHtub,Human IC,Human IO,Human ITG,Human Idg,Human Ig,Human LEC,Human LG,Human LP,Human LP-VPL,Human La,Human M1C,Human MD,Human MD-Re,Human MEC,Human MG,Human MN,Human MTG,Human MoAN,Human MoRF-MoEN,Human MoSR,Human NAC,Human PAG,Human PAG-DR,Human PB,Human PN,Human PTR,Human Pir,Human PnAN,Human PnEN,Human PnRF,Human Pro,Human Pu,Human Pul,Human RN,Human S1C,Human SC,Human SEP,Human SI,Human SN,Human SN-RN,Human STG,Human STH,Human SpC,Human Sub,Human TF,Human TH-TL,Human V1C,Human V2,Human VA,Human VLN,Human VPL
Cluster60,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,276,1,0,3,239,4,1,0,0,6,0,0,1,3,1,68,365,986,23,0,93,0,1,0,0,0,846,137,0,139,1047,49,158,150,321,0,284,111,408,50,0,0,0,0,420,1730,647,0,3,476,493,0,200,212,0,88,266,8,1,1230,486,808,173,310,11,447,516,1477,0,8,2137,235,0,295,306,60,2352,2611,0,542,23,8,0,0,0,0,80,800,134
Cluster61,53,27,55,78,45,85,85,11,23,447,28,16,41,53,48,50,127,67,66,177,130,94,1947,64,301,355,579,68,302,911,0,0,304,0,1,125,114,0,1214,23,48,408,785,0,2,34,203,87,1,1,7,33,18,8,10,0,0,23,42,28,15,17,6,1,154,146,1,1,42,0,240,442,1,0,0,74,0,0,1,3,0,40,1,1,1,92,55,64,0,96,2,830,34,21,2,273,6,1,728,60,79,84,45,89,20,1
Cluster62,0,0,0,0,1,0,2,0,1,3,0,0,0,0,1,0,1,107,0,3,1,39,88,0,3,3,31,0,4,22,103,197,15,62,170,15,1,4497,0,0,0,2,6,157,22,0,2263,7465,23,30,20,103,0,29,16,61,75,0,0,0,1,186,88,82,1,17,26,23,0,76,89,2,51,79,29,0,267,63,510,240,66,3,484,618,952,0,15,194,82,0,61,87,136,2502,928,0,659,41,17,0,0,0,1,125,341,37
Cluster63,0,0,0,2,0,0,3,0,2,0,0,0,0,0,0,0,1,72,0,0,0,29,12,0,2,0,12,2,2,11,2,4,20,0,27,31,3,210,0,0,1,15,6,126,73,0,17,43,67,22,19,13,3,37,90,112,1082,0,0,0,0,383,3,1,4,2,24,37,1,8,250,0,2232,763,294,4,80,104,132,235,15,13,105,683,468,0,0,72,25,0,282,349,6,261,31,0,5,2260,0,0,0,0,0,7,9,4
Cluster64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,2,6,0,0,0,1,0,7,0,0,0,14,2,0,2,0,0,0,0,0,0,0,0,1,0,2,6,0,0,3,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1093,0,0,0,0,1,0,2,4,0,0,0,0,2,1,0,0,3,1,0,0,5,0,4,0,0,0,0,2,0,0,0,0,1,1,0
Cluster65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,7,0,0,1,1,0,1,0,0,0,2,0,2,1,1,2,0,0,0,0,1,1,0,0,0,0,2,0,1,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,3,6,1,0,8,8,0,0,0,0,1,9,0,0,0,1,0,0,1,3,0,0,3,0,0,2,0,0,0,0,0,2,0,0
Cluster66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,81,99,0,0,2,0,0,0,0,67,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,14,0,0,0,0,7,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,140,81,0,4,10,0,0,0,0,81,21,0,0,0,0,0,0,0,0,0,0,5,0,0,145,0,0,0,0,0,0,0,0
Cluster68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,9,0,1,3,0,11,0,11,4,0,0,0,0,0,0,0,4,0,0,0,0,0,10,14,0,0,0,4,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,20,82,35,1,7,24,3,0,2,0,36,56,1,0,0,24,0,0,11,53,0,0,2,0,0,0,0,0,0,0,0,0,3,0
Cluster69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,19,1,14,126,1,23,63,121,6,15,80,0,0,2,0,0,16,6,0,0,0,0,5,59,6,8,0,0,0,0,0,0,7,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,3,31,3,10,0,0,0,0,5,0,0,0,0,22,0,0,2,44,0,1,0,0,0,0,2,0,0,0,0,2,1,0
Cluster70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,65,1,0,0,0,0,0,1,0,0,1,1,0,8,0,0,5,0,0,0,0,0,0,13,0,0,0,0,0,1,2,0,1,19,18,0,0,0,0,0,0,0,0,0,0,69,22,0,0,0,0,0,0,0,0,1,21,1,0,1,0,14,14,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,4,0,58,1,0,1,0,0,0,0,0,0,0,0,0,14,0,97,0,0,0,0,0,0,5,0,0,0,0,14,1,20,2,0,1,46,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,43,0,1,0,0,17,2,4,0,0,0,0,0,0,0,0,0,2,0,0,1,81,0,0,0,0,0,0,0,0,0,0,0,35,0,0
Cluster72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,65,3,74,395,0,3,3,19,0,2,2,0,0,24,0,2,31,5,3,0,0,0,4,4,40,4,0,0,0,0,1,3,7,0,0,6,11,1,0,0,0,0,0,0,0,10,0,2,1,0,0,5,0,4,2,0,38,18,13,0,0,0,0,13,13,1,0,0,7,0,0,4,38,0,2,8,0,0,0,114,0,0,0,0,5,0,0
Cluster73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,49,1,4,629,0,20,11,26,2,13,23,0,0,0,0,0,17,3,2,0,0,0,2,27,0,1,0,0,0,0,0,0,8,1,0,3,1,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,1,0,0,4,0,4,0,0,0,0,2,3,0,0,0,3,0,0,0,9,1,0,0,0,0,0,26,0,0,0,0,0,0,0
Cluster74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,8,0,0,0,7,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,48,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34,6,0,1,0,0,31,3,24,3,0,11,0,0,1,0,4,0,0,0,0,27,0,0,5,539,0,0,1,0,0,0,0,0,0,0,0,0,5,0
Cluster75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,3,15,0,0,0,1,0,0,0,3,0,0,0,0,9,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,24,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,563,7,196,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,824,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Cluster78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,131,4,32,0,0,0,0,0,0,0,2,1,0,0,0,11,0,0,1,2455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,9,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,11,53,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,1013,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cluster82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,18,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster83,14,3,4,10,10,13,10,4,1,0,13,4,10,11,8,8,14,0,21,0,2,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,3,4,0,0,0,0,0,21,0,0,0,0,0,0,9,0,0,0,0,8,17,10,5,0,0,0,1,106,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,25,1,10,2,0,0,5,0,0,2,11,8,17,11,0,0,0
Cluster84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,4,12,0,460,605,470,539,899,863,0,2,0,0,0,0,0,18,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,555,0,0,0,0,0,0,0
Cluster85,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,166,0,44,0,0,22,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,14,0,42,0,0,0,0,1,0,1,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,50,0,0,0,0,0,0,0,1,0,0,0,0,0
Cluster86,17,0,17,57,58,3,15,4,3,0,4,48,91,56,39,53,2,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,45,96,0,0,0,0,0,464,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,130,0,1,0,0,0,32,0,0,13,32,33,36,21,0,0,0
Cluster87,46,46,0,0,0,212,1,34,1,0,24,0,0,5,0,0,310,0,96,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,138,0,0,0,0,3,0,31,0,0,0,0,0,30,2,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,92,50,0,0,0,0,0,2,0,1,0,0,0,0,0
Cluster88,15,5,45,43,21,15,9,5,15,0,101,46,35,12,11,24,19,0,6,0,21,0,0,0,0,13,0,0,0,0,0,0,5,0,0,0,0,0,69,2,0,0,0,0,0,123,0,0,0,0,0,0,1,0,0,0,0,59,201,58,5,0,0,0,1,121,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,9,0,0,0,16,0,0,0,20,1,4,2,0,0,36,0,0,2,81,30,2,2,0,0,0
Cluster89,45,24,1,2,22,53,5,26,0,0,3,6,78,108,84,17,32,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,112,0,0,0,0,0,0,2,0,0,0,0,0,57,10,0,0,0,0,0,564,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,108,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0
Cluster90,105,50,0,2,3,234,0,49,0,0,0,5,86,153,90,3,126,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,189,0,0,1,0,0,0,9,0,0,0,0,0,42,10,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,113,0,33,17,0,0,1,0,0,0,1,0,0,0,0,0,0
Cluster91,1,0,74,18,52,0,2,0,14,0,110,70,24,2,1,36,0,0,0,0,36,0,0,0,0,12,5,1,0,0,0,0,4,0,0,0,0,0,71,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,82,159,38,18,0,0,0,0,83,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,7,0,0,0,36,0,0,0,19,0,0,0,0,0,26,0,0,32,119,79,4,34,0,0,0
Cluster92,7,0,82,146,7,0,1,0,15,0,47,118,104,6,0,92,0,0,0,0,14,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,69,119,183,3,0,0,0,0,104,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,2,0,0,0,61,0,0,0,79,0,0,0,0,0,98,0,0,33,121,108,69,101,0,0,0
Cluster93,80,4,10,1,336,16,207,25,3,0,3,20,92,183,157,24,19,0,6,0,2,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,0,17,16,15,1,0,0,0,0,631,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,10,0,0,0,40,0,0,0,114,0,11,2,0,0,16,0,0,11,17,7,16,36,0,0,0
Cluster94,1,0,145,115,73,0,17,1,23,0,129,114,46,3,2,80,0,0,0,0,45,0,0,0,0,36,0,1,0,0,0,0,5,0,0,0,0,0,31,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,133,99,92,7,0,0,0,2,86,0,0,0,0,0,459,0,0,0,0,0,0,0,0,0,2,0,0,0,112,0,0,0,42,0,0,0,0,0,109,0,0,30,167,83,96,159,0,0,0
Cluster95,89,88,0,0,4,349,2,56,0,0,0,0,1,20,16,0,182,0,163,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,112,0,0,0,0,0,0,43,0,0,0,0,1,24,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,53,36,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster96,0,0,8,9,3,3,0,0,17,0,120,27,20,0,0,17,0,0,18,0,14,0,0,0,0,6,1,0,0,0,0,0,27,0,0,0,0,0,39,2,0,0,0,0,0,49,0,0,0,0,0,0,3,0,0,0,0,9,68,15,38,0,0,0,5,16,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,36,0,0,0,2,0,0,0,8,0,0,0,0,0,7,0,0,5,16,11,0,4,0,0,0
Cluster97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,4,0,0,40,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13,0,4,0,0,0,0,0
Cluster98,132,57,63,133,73,276,54,18,27,0,89,67,89,92,101,80,224,0,127,1,24,2,0,2,15,74,4,16,0,0,0,0,141,0,0,101,0,0,267,15,0,0,0,0,0,401,0,0,0,0,4,0,22,0,0,1,0,61,147,109,6,0,0,0,100,292,0,0,1,0,0,399,0,0,0,11,0,0,0,0,0,124,0,0,0,64,6,0,2,135,3,141,85,0,0,74,0,0,171,69,85,44,32,0,0,0
Cluster99,153,53,62,104,101,237,58,39,3,0,36,36,75,87,120,97,455,0,69,0,11,1,0,1,56,69,13,30,0,0,0,0,20,0,0,43,0,0,355,8,0,0,0,0,0,498,0,0,0,0,3,0,9,0,0,0,0,34,154,102,0,0,0,0,6,200,0,0,0,0,0,353,0,0,0,5,0,0,0,0,0,12,0,0,0,64,29,0,1,133,0,74,32,0,0,43,0,0,118,34,45,55,25,0,0,0
Cluster100,59,19,33,59,92,75,30,11,76,0,51,21,50,40,25,55,208,0,469,29,10,3,0,2,1,16,7,6,0,0,0,0,379,0,0,450,0,0,159,188,0,0,0,0,0,336,0,0,0,0,0,0,120,0,0,0,0,22,73,76,49,0,0,0,266,374,0,0,3,0,0,131,0,0,0,5,0,0,0,0,0,332,0,0,0,44,53,0,0,86,0,49,22,0,0,30,0,0,48,45,57,26,30,0,0,0
Cluster101,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,54,60,0,40,0,0,0,313,1,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,0,0,0,5,16,0,0,1443,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523,0,3,0,0,0,0,0
Cluster102,0,0,0,0,0,0,0,0,63,0,8,0,0,0,0,0,0,0,0,327,176,0,6,0,0,0,23,3,0,0,0,0,298,0,0,132,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,315,0,0,0,345,8,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0
Cluster103,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,52,31,0,44,7,0,0,143,0,0,0,0,0,2,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,21,7,0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0
Cluster104,0,0,0,1,0,0,0,0,25,0,10,0,0,0,0,0,0,0,0,56,38,0,62,39,30,31,241,67,0,1,0,0,118,0,0,69,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,77,1,0,0,617,0,0,2,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,211,14,35,1,0,0,0,0
Cluster105,48,112,0,18,2,492,1,64,35,0,248,4,7,5,5,1,471,0,129,0,62,0,0,0,5,54,5,38,0,0,0,0,36,0,0,5,0,0,155,4,0,0,0,0,0,434,0,0,0,0,0,0,29,0,0,0,0,7,334,148,34,0,0,0,30,179,0,0,8,0,0,124,0,0,0,0,0,0,0,0,0,20,0,0,0,67,0,0,0,0,1,132,70,0,0,3,0,0,207,141,295,0,0,0,0,0
Cluster106,424,123,242,410,674,225,355,75,1,0,7,213,393,533,485,312,34,0,58,0,2,0,0,0,6,25,0,0,0,0,0,0,0,0,1,0,0,0,30,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,112,44,381,0,0,1,0,0,2038,0,0,0,0,0,868,0,0,0,0,0,0,0,0,2,44,0,0,0,287,0,0,1,620,2,5,0,1,0,277,0,0,28,61,15,206,237,0,0,0
Cluster107,1,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,687,21,0,0,0
Cluster108,483,146,24,32,365,310,1532,164,5,0,72,32,225,519,433,64,339,0,139,7,20,5,311,3,1,10,91,5,0,1,0,0,40,0,0,45,0,0,70,32,0,0,0,0,0,312,0,0,0,0,0,0,48,0,0,0,0,25,131,43,36,0,0,0,22,1790,0,0,46,0,0,136,0,0,0,1,0,0,0,0,0,101,0,0,0,87,1,0,0,376,11,111,13,0,0,53,0,0,126,29,67,51,64,1,0,0
Cluster109,102,2,335,467,478,21,79,8,26,0,361,307,404,73,45,326,8,0,7,0,77,0,0,0,1,102,8,48,0,0,0,0,5,0,0,0,0,0,188,1,0,0,0,0,1,39,0,0,0,0,0,0,0,0,0,0,0,304,387,485,53,1,1,0,4,1759,0,0,0,0,0,1040,0,0,0,0,0,1,0,0,0,21,0,0,0,388,4,0,0,385,2,1,0,0,0,413,0,0,191,383,602,265,437,0,0,0
Cluster110,247,153,67,128,15,369,14,124,27,0,593,38,108,112,179,64,767,0,233,1,144,0,0,2,9,63,35,68,0,0,0,0,104,0,1,0,0,0,338,87,0,0,0,0,1,799,0,0,0,0,0,0,39,0,0,0,0,137,490,119,467,0,0,0,79,395,0,0,12,0,0,556,0,0,0,0,0,0,0,0,0,95,0,0,0,55,15,0,0,52,0,128,41,1,0,83,0,0,121,232,294,9,14,0,0,0
Cluster111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,518,79,78,106,421,144,0,3,0,0,0,0,0,89,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,77,1,2,0,0,0,0,0
Cluster112,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,17,7,0,189,209,3,1,615,5,0,1,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,37,0,0,3608,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,0,0,0,0,28,0,0,1,0,0,0,0,1115,21,65,0,0,0,0,0
Cluster113,0,0,0,0,2,0,0,3,0,0,0,0,56,11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster114,5,0,22,14,89,0,57,1,2,0,9,26,56,66,32,23,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,19,0,0,0,0,0,212,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,40,0,1,0,0,0,12,0,0,9,11,8,1,6,0,0,0
Cluster115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster116,1,0,14,22,3,0,0,1,19,0,164,9,51,0,0,8,0,0,2,0,17,0,0,0,0,3,0,0,0,0,0,0,21,0,0,0,0,0,35,0,0,0,0,0,0,72,0,0,0,0,1,0,2,0,0,0,0,14,321,108,58,0,0,0,6,111,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,39,0,0,0,5,0,0,0,36,0,0,0,0,0,25,0,0,3,29,45,14,10,0,0,0
Cluster117,101,85,0,0,0,370,0,92,0,0,6,0,1,27,11,0,626,0,372,0,0,24,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,27,0,0,0,0,0,434,0,0,0,0,13,0,192,0,0,0,0,0,35,1,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,122,86,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,0,0,0,0,0,0,0,40,1,26,0,0,0,0,0
Cluster119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,1869,1125,396,812,1031,1176,0,1,0,0,0,0,0,77,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0
